State,County,FIPS,Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
CT,Hartford,9004,11.2779939065,1.3261804767,1.0454772076,1.5662916516,1.0532381679,2.0247659695,1,1.0480740998,1.1208431336,1.0931231998
CT,Litchfield,9006,9.4158122762,1.0473336496,1.0217954925,1.1227232241,1,1.1961533874,1,1,1,1.0278065225
CT,Middlesex,9008,9.6253423194,1.0407305324,1.0957493386,1.104845097,1.116244064,1.2326893409,1,1.0028234868,1.0070973592,1.0251631005
CT,New Haven,9010,11.3832682316,1.2545556145,1.0627268672,1.5343784186,1.4677085794,1.8982810254,1,1.0202583057,1.0509229924,1.0944364284
CT,New London,9012,9.9066770761,1.0834503863,1.090498768,1.1723386693,1.0837947893,1.4067894465,1,1.0088203586,1.0221715995,1.0388130586
CT,Tolland,9014,9.3538338905,1.0367348347,1.0043331613,1.0880508088,1,1.211149793,1,1,1,1.0135652927
CT,Windham,9016,9.6704442234,1.0221036804,1.0161046252,1.0740657985,1.3753212775,1.1463068746,1,1.0055992668,1.0140747965,1.016867904
DE,Kent,10002,9.5395687001,1.0327082506,1.0544034492,1.0407357743,1.0449984252,1.2143940907,1,1.033640102,1.0845606119,1.0341279962
DE,New Castle,10004,11.4727218189,1.1596135182,1.3739422282,1.1891903985,1.8818992311,1.7287474291,1,1.0236913176,1.059552499,1.0560851972
DE,Sussex,10006,10.3715020315,1.023674392,1.2680825883,1.0344365674,1.6684355032,1.3036454369,1,1.0065775299,1.0165338353,1.0501161784
DC,District of Columbia,11002,10.2601730225,1.3237002934,1.0065852595,1.2561746688,1.0732130243,1.5328957902,1,1.000042943,1.0001079434,1.0674530998
FL,Alachua,12002,10.1479658486,1.0111515176,1.0506505441,1.0074099524,1.5081035209,1.4115534079,1.0953660074,1.0101290815,1.025461317,1.0281404998
FL,Baker,12004,9.0964692694,1.0012108875,1.0051918684,1.0007900598,1,1.0870855738,1,1,1,1.0021908799
FL,Bay,12006,10.1626602893,1.0087029578,1.1119699705,1.0055050679,1.7443632813,1.2165048085,1,1.0108438535,1.0272580263,1.0375123235
FL,Bradford,12008,9.0985053291,1.0013950169,1.0210501032,1.0009288072,1,1.0580053476,1,1.0036799975,1.0092503518,1.004195705
FL,Brevard,12010,11.2651189754,1.0279246885,1.1314404955,1.017542251,1.960619053,1.8151435968,1,1.0605436858,1.1521877358,1.099717469
FL,Broward,12012,13.8444101966,1.0877017638,1.4210262227,1.0572378149,2.6825524706,2.9811573739,1,1.1201366193,1.3019855778,1.1926123535
FL,Calhoun,12014,9.030597324,1.0007605746,1.0030539578,1.0004671672,1,1.0239673856,1,1.0001095045,1.0002752615,1.0019634726
FL,Charlotte,12016,9.3536334178,1.0078141037,1.0339891093,1.0051199722,1.0000312492,1.236306292,1,1.0087239099,1.0219291581,1.0397196234
FL,Citrus,12018,13.0778826392,1.006578964,1.0365418963,1.0043242733,4.7624403728,1.2254678424,1,1.0053039768,1.0133325293,1.0238927844
